id,title,role,models,options,sharedKeywords
"(1, 0)",Worg Lord,0,(0),"(0, 1, 2, 3, 56)",1
"(1, 1)",Storm Caller,0,(1),"(4, 5, 6, 7, 54, 55)",1
"(1, 2)",Special Ops Squad,2,"(3, 2, 2)","(8, 9, 10, 11, 12, 13, 14)",1
"(1, 3)",Doom Orcs,2,(4),"(15, 16, 17, 57)",1
"(1, 4)",Brawler Squad,1,"(6, 5, 5, 5, 5)","(18, 19, 20, 21)",1
"(1, 5)",Gunner Squad,1,"(8, 7, 7, 7, 7)","(22, 23, 24, 25, 26, 27)",1
"(1, 6)",Worg Cavalry,3,"(10, 9, 9, 9)","(28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38)",1
"(1, 7)",Worg Pack,3,"(11, 11, 11, 11, 11, 11, 11, 11, 11, 11)",(39),1
"(1, 8)",Demolitions Squad,4,"(13, 12, 12, 12, 12)","(40, 41, 42, 43, 44, 45, 46)",1
"(1, 9)",Turbo-Tank,4,(14),"(47, 48)",1
"(1, 10)",Speedwagon,5,(15),(),1
"(1, 11)",Duster,6,(16),"(49, 50)",1
"(1, 12)",Big Bomber,6,(17),(),1
"(1, 13)",Fortified Guard Tower,7,(18),"(51, 52, 53)",1
