id,name,abilities,ap,range,damage,type,points,shots,strength,strengthMultiplier,strengthPlus,uni,userStrength
"(1, 0)",Iron Axe,('+1 AS'),0,0,1,0,0,0,0,0,0,0,1
"(1, 1)",Glock,(),0,12,1,5,0,1,4,0,0,0,0
"(1, 2)",Pineapples,('Blast'),0,8,1,4,0,5,4,0,0,0,0
"(1, 3)",Steel Axe,('+1 AS'),1,0,1,0,2,0,0,0,0,0,1
"(1, 4)",Raw Axe,(),3,0,2,0,4,0,0,0,0,0,1
"(1, 5)",Auto-Rifle,(),0,24,1,3,0,1,4,0,0,0,0
"(1, 6)",Rapid Axe,('+2 AS'),0,1,0,0,5,0,0,0,-1,0,1
"(1, 7)",Magic Axe,('Ignore invul save'),0,0,1,0,9,0,0,0,0,0,1
"(1, 8)",Addamite Axe,('-1 Melee Skill'),3,0,3,0,20,0,0,2,0,0,1
"(1, 9)",Sledgehammer,"('-1 Melee Skill', '+1 to wound vs VEHICLES')",2,0,2,0,13,0,0,0,2,0,1
"(1, 10)",Cleaver,('+3 AS'),0,0,1,0,12,0,0,0,0,0,1
"(1, 11)",Hand Cannon,(),1,12,2,5,8,1,5,0,0,0,0
"(1, 12)",Power Pistol,(),3,12,2,5,15,1,7,0,0,0,0
"(1, 13)",Adept's Amulet,(),0,0,0,6,10,0,0,0,0,0,0
"(1, 14)",Master's Spellbook,(),0,0,0,6,10,0,0,0,0,0,0
"(1, 15)",Flamer,"('Ray', 'Ground only')",0,8,1,1,14,4,4,0,0,0,0
"(1, 16)",Shock Shooter,(),3,24,1,3,18,1,7,0,0,0,0
"(1, 17)",Stormer,(),4,12,4,1,25,1,8,0,0,0,0
"(1, 18)",Shock Carbine,(),3,18,2,3,22,1,5,0,0,0,0
"(1, 19)",Sniper Rifle,"('Targets characters', 'Sniper')",0,36,1,2,10,1,4,0,0,0,0
"(1, 20)",Bite,(),1,0,1,0,0,0,0,0,0,0,1
"(1, 21)",RPG,(),0,48,3,2,23,1,8,0,0,0,0
"(1, 22)",Gattler,(),0,36,1,2,27,5,5,0,0,0,0
"(1, 23)",Thundergun,(),2,48,4,2,34,1,8,0,0,0,0
"(1, 24)",Wotan Cannon,('Large blast'),2,48,3,2,38,1,10,0,0,0,0
"(1, 25)",Mini-turret,(),0,36,1,3,13,3,5,0,0,0,0
"(1, 26)",Side Cannon,(),1,1,2,2,20,1,7,0,0,0,0
"(1, 27)",Zap Tapper,(),1,36,2,3,20,1,6,0,0,0,0
"(1, 28)",Shock Bombs,('Blast'),0,6,1,1,38,6,5,0,0,0,0
"(1, 29)",Volt Strike,('Large blast'),0,6,5,1,30,1,9,0,0,0,0
"(1, 30)",Skyguard,('Air only'),2,36,3,2,42,4,7,0,0,0,0
"(1, 31)",Thunder Shield,(),0,0,0,7,5,0,4,0,0,0,0
