id,gaining,maximum,type,receivingModel,replacing,requires,uni
"(0, 0)",(0),1,2,0,(21),(),0
"(0, 1)",(1),1,2,0,(21),(),0
"(0, 2)",(1),1,2,0,(3),(),0
"(0, 3)",(0),1,2,1,(0),(),0
"(0, 4)",(25),1,1,1,(0),(),0
"(0, 5)",(4),1,1,1,(24),(),0
"(0, 6)",(5),1,1,1,(24),(),0
"(0, 7)",(2),3,0,0,(),(),0
"(0, 8)",(0),1,2,3,(0),(),0
"(0, 9)",(1),1,2,3,(0),(),0
"(0, 10)",(2),1,2,3,(0),(),0
"(0, 11)",(3),1,2,3,(0),(),0
"(0, 12)",(1),1,2,3,(3),(),0
"(0, 13)",(1),0,2,2,(0),(),0
"(0, 14)",(0),0,2,2,(0),(),0
"(0, 15)",(25),0,1,2,(3),(),0
"(0, 16)",(0),0,2,2,(3),(),0
"(0, 17)",(1),0,2,2,(3),(),0
"(0, 18)",(2),0,2,2,(3),(),0
"(0, 19)",(5),4,0,0,(),(),0
"(0, 20)",(6),3,0,0,(),(),0
"(0, 21)",(0),1,2,6,(0),(),0
"(0, 22)",(1),1,2,6,(0),(),0
"(0, 23)",(2),1,2,6,(25),(),0
"(0, 24)",(3),1,2,6,(25),(),0
"(0, 25)",(3),0,1,5,(25),(),0
"(0, 26)",(2),1,2,5,(25),(),0
"(0, 27)",(3),1,2,5,(25),(),0
"(0, 28)",(4),1,1,5,(25),(),0
"(0, 29)",(26),0,1,5,(25),(),0
"(0, 30)",(7),5,0,0,(),(),0
"(0, 31)",(0),1,2,8,(0),(),0
"(0, 32)",(1),1,2,8,(0),(),0
"(0, 33)",(1),1,2,8,(25),(),0
"(0, 34)",(2),1,2,8,(25),(),0
"(0, 35)",(3),1,2,8,(25),(),0
"(0, 36)",(27),1,1,8,(25),(),0
"(0, 37)",(26),1,1,8,(25),(),0
"(0, 38)",(26),1,1,7,(25),(),0
"(0, 39)",(27),1,1,7,(25),(),0
"(0, 40)",(9),5,0,0,(),(),0
"(0, 41)",(1),1,2,10,(0),(),0
"(0, 42)",(0),1,2,10,(0),(),0
"(0, 43)",(1),1,2,10,(3),(),0
"(0, 44)",(28),1,1,10,(),(),0
"(0, 45)",(10),2,1,9,(0),(),0
"(0, 46)",(1),2,1,9,(0),(),0
"(0, 47)",(11),3,0,0,(),(),0
"(0, 48)",(0),1,2,12,(0),(),0
"(0, 49)",(1),1,2,12,(0),(),0
"(0, 50)",(2),1,2,12,(0),(),0
"(0, 51)",(3),1,1,11,(0),(),0
"(0, 52)",(2),2,2,11,(0),(),0
"(0, 53)",(18),1,1,15,(31),(),0
"(0, 54)",(18),1,1,15,(),(),0
"(0, 55)",(16),1,1,15,(),(),0
"(0, 56)",(29),1,1,15,(),(),0
"(0, 57)",(25),1,1,16,(),(),0
"(0, 58)",(18),2,1,17,(16),(),0
"(0, 59)",(36),1,1,1,(),(),0
"(0, 60)",(37),1,1,1,(),(36),0
"(0, 61)",(38),1,1,0,(),(),0
"(0, 62)",(38),0,1,2,(),(),0
"(0, 63)",(38),0,1,3,(),(),0
