id,title,role,models,options,sharedKeywords
"(0, 0)",Captain,0,(0),"(0, 1, 2, 61)",1
"(0, 1)",Invoker,0,(1),"(3, 4, 5, 6, 59, 60)",1
"(0, 2)",Veteran Squad,2,"(3, 2)","(7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 62, 63)",1
"(0, 3)",Medicant,2,(4),(),1
"(0, 4)",Ground Squad,1,"(5, 5, 5, 5, 5)","(19, 20, 21, 22, 23, 24, 25, 26, 27, 28)",1
"(0, 5)",Scout Squad,1,"(8, 7, 7, 7, 7)","(30, 31, 32, 33, 34, 35, 36, 37, 38, 39)",1
"(0, 6)",Striker Squad,3,"(10, 9, 9, 9, 9)","(40, 41, 42, 43, 44, 45, 46)",1
"(0, 7)",Biker Squad,3,"(12, 11, 11)","(47, 48, 49, 50, 51, 52)",1
"(0, 8)",Pyro-Tech Gun,4,"(13, 14)",(),0
"(0, 9)",Brotherhood Tank,4,(15),"(53, 54, 55, 56)",1
"(0, 10)",Brotherhood APC,5,(16),(57),1
"(0, 11)",Pyro-Heavy Chopper,6,(17),(58),1
"(0, 12)",Pyro-Heavy Interceptor,6,(18),(),1
"(0, 13)",Great Lord Auldoon,8,(19),(),1
